id,Title
459,One Piece: The Movie
460,One Piece: Clockwork Island Adventure
461,One Piece: Chopper Kingdom of Strange Animal Island
462,One Piece: Dead End
463,One Piece: The Curse of the Sacred Sword
464,One Piece: Baron Omatsuri and the Secret Island
465,One Piece: The Giant Mechanical Soldier of Karakuri Castle
466,One Piece: Defeat the Pirate Ganzack!
467,Ghost in the Shell: Stand Alone Complex
468,Ghost in the Shell 2: Innocence
469,Karin
470,My Wife is a High School Girl
471,To Heart 2
472,To Heart
473,Tide-Line Blue
474,Macross Plus
475,Hotori: Tada Saiwai wo Koinegau
476,Skating Rink Kaleidoscope
477,Aria the Animation
478,Aquarion
479,The Law of Ueki
481,Yu-Gi-Oh!
482,Yu-Gi-Oh! GX
483,Kurau Phantom Memory
484,Saiyuki: Requiem
485,Damekko Doubutsu
486,Kino's Journey
487,Girls Bravo: Second Season
488,Strawberry Marshmallow
489,Kamichu!
490,Paniponi Dash!
492,Armitage III: Dual-Matrix
493,Armitage III: Poly-Matrix
495,Sorcerer Hunters
496,Kamui no Ken
497,"Yamibo: Darkness, The Hat and the Travelers of the Books"
498,Great Planet Evil-Destroyer Dangaio
499,Demon City Shinjuku
501,Doraemon
502,Dragon Ball: Curse of the Blood Rubies
503,The Eternal Aseria
504,Fatal Fury: The Motion Picture
505,Fushigiboshi no☆Futagohime
506,Glass no Kamen
507,Gravitation: Lyrics of Love
508,Hamtaro
509,I My Me! Strawberry Eggs
510,Kakyusei 2
511,Moeyo Ken TV
512,Kiki's Delivery Service
513,Castle in the Sky
514,Le Portrait de Petit Cossette
515,Legend of Crystania: The Motion Picture
516,Sgt. Frog
517,School Rumble: Extra Class
518,Magical Princess Minky Momo
519,Mahoraba: Heartful days
520,Marmalade Boy Movie
521,Mermaid Melody: Pichi Pichi Pitch
522,Metropolis
523,My Neighbor Totoro
524,Please Twins!: The Summer Never Ends
525,Otogi Zoshi: The Legend of Magatama
526,Please Save My Earth
527,Pokémon
528,Pokémon: The First Movie
529,"She, The Ultimate Weapon"
530,Sailor Moon
531,Sailor Moon R: The Movie - The Promise of the Rose
532,Sailor Moon S
533,Teacher's Time
534,Slayers
535,Slayers Next
536,Slayers: The Motion Picture
537,Tekken: The Motion Picture
538,Tenchi in Tokyo
539,Tenchi Muyo! Ryo-Ohki
540,Tenchi Muyo! Ryo-Ohki
541,Tenchi Muyo! Ryo-Ohki
543,Vampire Hunter D: Bloodlust
544,Venus Wars
545,Mousou Kagaku Series: Wandaba Style
546,Wind: A Breath of Heart (TV)
547,Wind: A Breath of Heart OVA
548,Sky Blue
550,Yu☆Gi☆Oh!
551,Baki the Grappler: Saidai Tournament-hen
552,Digimon: Digital Monsters
553,Descendants of Darkness
554,Steel Angel Kurumi
555,Steel Angel Kurumi 2
556,Koutetsu Tenshi Kurumi Zero
557,Steel Angel Kurumi Encore
558,Major S2
559,RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness
560,Soukyuu no Fafner: Dead Aggressor - Right of Left
561,Sakura Wars TV
562,Sakura Taisen: Le Nouveau Paris
563,DNA²
564,Puni Puni Poemy
565,Steamboy
566,Birdy the Mighty
567,The Big O
568,Bubblegum Crisis Tokyo 2040
569,The Irresponsible Captain Tylor
570,Jin-Roh: The Wolf Brigade
571,Moldiver
572,Nausicaä of the Valley of the Wind
573,Saber Marionette J
574,The Wings of Rean
576,Magikano
577,Eternal Alice
578,Grave of the Fireflies
579,Battle Programmer Shirase
580,Scorched Bread
581,Labyrinth Of Flames
582,Sexy Commando Gaiden: Sugoi yo!! Masaru-san
584,Noein: to your other self
585,Whisper of the Heart
586,Ayakashi: Japanese Classic Horror
587,Looking Up At The Half-Moon
588,Itsudatte My Santa!
589,Silver Fang
590,Guardian Ninja Mamoru
591,Ah My Buddha
592,PopoloCrois
593,Infinite Ryvius
594,Naruto: The Lost Story - Mission: Protect the Waterfall Village
595,X: An Omen
596,Chobits: Chibits - Sumomo and Kotoko Deliver
597,The Cat Returns
598,Android Kikaider - The Animation
599,Phantom Quest Corp.
600,Legend of Duo
601,Cat Soup
602,KO Century Beast Warriors
603,Pretty Cure
604,Magical Stage Fancy Lala
605,I'm Gonna Be an Angel!
606,Carried by the Wind: Tsukikage Ran
607,Fairy Musketeers
608,Sakura Wars: The Movie
609,Saikano: Another Love Song
610,Popotan
611,Platonic Chain
612,PetoPeto-san
613,The Chronicle of the Big Battle between Yin and Yang
614,Madam is a Magical Girl
615,Nurse Witch Komugi-chan Magikarte
616,Nurse Angel Ririka SOS
617,Ninja Scroll
618,Ninja Scroll: The Series
619,Ninja Ryuukenden
620,Mermaid Forest
